main_category,title,average_rating,rating_number,features,description,price,store,categories,details,parent_asin
All Beauty,"Loose Powder, 1.5oz Bottle Loose Face Powder, Translucent Tone Loose Face Powder, for Setting Makeup or as Foundation, Lightweight, Long Lasting",4.2,22,[],[],,GETMORE7,[],{},B07FVZVQKV
All Beauty,"Zydeco Chop Chop Cajun Seasoning Base, 8 Ounce Resealable Bags (Pack of Two - 1 Pound Total)",4.7,21,"['All Natural blend of Dehydrated Onion, Dehydrated Garlic, Dehydrated Red and Green Bell Pepper, Dehydrated Celery, Dehydrated Green Onion, and Dehydrated Parsley flakes', 'No MSG, No Salt Added and Gluten Free. Pack of Two 8 Ounce resealable bags (1 Pound total)', 'Use as a replacement for the Cajun Trinity - quick and easy veggie base for gumbo, etouffee, jambalaya, bisques and more', 'Saves time shopping/chopping, money and waste versus keeping produce on hand at all times - ready to add to your favorite dish in just minutes', 'Certified Cajun by the state of Louisiana - From Opelousas, LA deep in the heart of Cajun Country.']","['Zydeco Chop Chop is a blend of Dehydrated Onion, Dehydrated Garlic, Dehydrated Red and Green Bell Pepper, Dehydrated Celery, Dehydrated Green Onion, and Dehydrated Parsley flakes. Created from a rich tradition rooted deep in Cajun culture, Zydeco Chop Chop is already blended and ready to use in anything from traditional Cajun favorites to regular American fare. Use liberally as a replacement for the Cajun Trinity (Onions, Bell Pepper and Celery). Simply rehydrate with a 1/2 cup of water for every 1/4 cup of Chop Chop Cajun Seasoning Base (8 Ounce Bag yields approximately 8 servings), saving time chopping up produce the old-fashioned way. Provides a Cajun twist on all manner of dishes including cornbread or rice dressing, chicken or potato salad, crab cakes, jambalaya, etouffee, deviled eggs, breakfast strata, stuffed peppers and more - the possibilities are endless. From Opelousas, Louisiana deep in the heart of Cajun Country.']",,BORELTH,[],"{'Package Dimensions': '9.61 x 7.17 x 3.07 inches; 1.41 Pounds', 'UPC': '736684086978', 'Manufacturer': 'Zydeco Chop Chop'}",B0BTLTVR1X
All Beauty,Sharonelle Natural Cream Soft Wax for Sensitive Skin in 14 oz. - 4 cans,4.0,1,[],[],50.0,Sharonelle,[],"{'Item Form': 'Wax', 'Skin Type': 'Sensitive', 'Brand': 'Sharonelle', 'Unit Count': '4.00 Count', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '8 x 8 x 3 inches; 4 Pounds', 'Date First Available': 'June 6, 2017'}",B071G4NNH7
All Beauty,"Organic Sweet Almond Oil and Fractionated Coconut Oil Bundle for Hair and Skin, 100% Pure and Natural, Hexane-Free, Moisturizing, For Healthy Skin, Silky Hair, Multiuse Body Oil, 16 fl. Oz X 2",4.5,167,[],[],,Shiny Leaf,[],"{'Brand': 'Shiny Leaf', 'Scent': 'Almond Oil and Fractionated Coconut', 'Item Form': 'Oil', 'Unit Count': '32.00 Fl Oz', 'Number of Items': '2', 'Package Dimensions': '8.62 x 5.04 x 2.48 inches; 2.23 Pounds', 'UPC': '781584950669'}",B08LYT4Q2X
All Beauty,"Empty Brown Glass Spray Bottles2-Pack, Refillable 16 oz Containers for Essential Oils, Cleaning Products, Aromatherapy, Misting Plants, or Cooking - Reliable Sprayer with Mist and Stream Settings",3.7,53,[],[],,Cherry,[],"{'Brand': 'Cherry', 'Material': 'Glass', 'Capacity': '16 Ounces', 'Number of Items': '2', 'Product Care Instructions': 'Hand Wash Only', 'Package Dimensions': '9.09 x 6.46 x 3.35 inches; 4.94 Ounces', 'UPC': '791523234187'}",B089CSF11Y
All Beauty,"Cloud 9 Magic Capsule Cleanser 80ml - O2 Bubble Facial Cleanser, Sebum Control, Removes Dead Skin Cells and Impurities from Pores",3.3,15,[],[],,Cloud 9,[],"{'Item Form': 'Capsule', 'Skin Type': 'All', 'Brand': 'Cloud 9', 'Age Range (Description)': 'Adult', 'Unit Count': '2.7 Fl Oz', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '5.31 x 2.01 x 1.89 inches; 5.61 Ounces', 'UPC': '887406068021'}",B073RBSXY9
All Beauty,3D Mask Bracket for Kids，Internal Support Holder Frame Nose Breathing Smoothly - Protect Lipstick Lips - Cool Face Mask Inner Support Frame-5Pcs,2.9,14,"['❤-Outfits Set Include: 1 pack of 5 3D mask bracket (not including mask or cloth, etc.).', '❤-Size: about 10*9*4.2cm / 3.9*3.51*1.64 inches, enough space for various masks.', '❤-Unique design: designed to fit the face of the nose bridge, breathing more smoothly, breathable and not stuffy.', '❤-Ideal Saver for Makeup - It makes the mask not to stick lipstick, protecting your perfect makeup from being messed up.If you wear glasses, 3D Inner Bracket can also prevent the lens from fogging because of more breathing space.', '❤ 3D Inner Bracket also suitable for various ma-sks.Using double sided tape or thread to fasten the silicone frame onto the mask can make it work better.']","['❤-Outfits Set Include: 1 pack of 5 3D mask bracket (not including mask or cloth, etc.). ❤-Size: about 10*9*4.2cm / 3.9*3.51*1.64 inches, enough space for various masks. ❤-Unique design: designed to fit the face of the nose bridge, breathing more smoothly, breathable and not stuffy. ❤-Ideal Saver for Makeup - It makes the mask not to stick lipstick, protecting your perfect makeup from being messed up.If you wear glasses, 3D Inner Bracket can also prevent the lens from fogging because of more breathing space. ❤ 3D Inner Bracket also suitable for various ma-sks.Using double sided tape or thread to fasten the silicone frame onto the mask can make it work better.']",,Vedory,[],"{'Package Dimensions': '11.93 x 4.41 x 1.73 inches; 0.71 Ounces', 'UPC': '305393618956 305393618819 800914455060', 'Manufacturer': '01'}",B08FZB43ZK
All Beauty,"[The Hair Mother Cellar] M-hair Loss Shampoo For Moisturizing, Dandruff-free, Nourishing hair For Men (10.14fl.oz./300ml)",4.5,7,"['Authorized sanitary aid drugs for preventing hair loss and promoting healthy hair.', 'Complex of 10 tea ingredients allows soothe sensitive skin and shiny silky hair.', 'All in one care for nourishing, emollient scalp and hair while treating strength of hair bulb.', 'Recomment to thin hair, lossing tightening, lossing hair, dehydrated hair for healthy silky hair.', 'For the best results, use ""HMC scalp and hair tonic"" together.']",[],,reskin,[],"{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '2.4 x 2.4 x 6.89 inches; 13.62 Ounces'}",B01BGSYRD0
All Beauty,"African Pride Black Castor Miracle Hold and Cover Edges Black, 2.25 oz",3.7,23,[],['African Pride Black Castor Miracle Hold & Cover Edges BLACK 2.25oz. Covers gray and holds down edges'],9.99,African Pride,[],"{'Item Form': 'Gel', 'Brand': 'African Pride', 'Number of Items': '1', 'Unit Count': '1.00 Count', 'Product Dimensions': '3 x 3 x 1.25 inches; 3.21 Ounces'}",B07N9715WM
All Beauty,"OSRSR Cryo Sticks,Unbreakable Stainless Steel Beauty Ice Facial Massage Tools for Woman,Skin Case Ice Globes Cryo Spoons,Cooling Globes Cold Globes for Face,Eyes & Neck",4.5,107,"['PREMIUM QUALITY ICE GLOBES: OSRSR cryo sticks for facial are made from 304 stainless steel and filled with non-toxic cooling gel. So they are no happen break, durable and stays cold for long!', 'PROFESSIONAL CRYO FACIAL THERAPHY: The ice globes for face can reduce puffiness, shrink pores, soothes inflammations, swollen eyes and dark circles, help promote blood circulation. You will feel like you brought your facial at home.', 'RELIEVE YOUR STRESS: The cooling globes for face help with tightening the skin and removes fatigue. This Cryo facial massage tool is contributing to the repair and regeneration of skin cell and stimulate collagen.', 'SAFE & EASY TO USE: Place the cold globes for facials in the freezer or refrigerator for 2 hours and then use the facial globes for up to 5-6 hours, Pair over your creams or other skin care products!', 'ELEGANTLY PACKAGE: 2 PC facial massage cryo sticks and use instruction with Storage Case in Luxury Box. OSRSR cold rollers make the perfect birthday or Christmas present for women mom wife Girlfriend. Perfect as a gift for your loved ones and even for yourself!']",[],17.49,OSRSR,[],"{'Material': 'Stainless Steel', 'Brand': 'OSRSR', 'Water Resistance Level': 'Not Water Resistant', 'Package Dimensions': '7.91 x 5.63 x 2.24 inches; 11.68 Ounces', 'Item model number': 'OSRSR021', 'UPC': '726324604273', 'Manufacturer': 'OSRSR'}",B0924GT395
