hotel_class,region_id,url,phone,details,address,type,id,name
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d113317-Reviews-Casablanca_Hotel_Times_Square-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '147 West 43rd Street', 'postal-code': '10036', 'locality': 'New York City'}",hotel,113317,Casablanca Hotel Times Square
5.0,32655,http://www.tripadvisor.com/Hotel_Review-g32655-d76049-Reviews-Four_Seasons_Hotel_Los_Angeles_at_Beverly_Hills-Los_Angeles_California.html,,,"{'region': 'CA', 'street-address': '300 S Doheny Dr', 'postal-code': '90048', 'locality': 'Los Angeles'}",hotel,76049,Four Seasons Hotel Los Angeles at Beverly Hills
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93589-Reviews-The_Michelangelo_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '152 West 51st Street', 'postal-code': '10019', 'locality': 'New York City'}",hotel,93589,The Michelangelo Hotel
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d217616-Reviews-The_Muse_Hotel_New_York-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '130 West 46th Street', 'postal-code': '10036', 'locality': 'New York City'}",hotel,217616,The Muse Hotel New York
4.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d208454-Reviews-Sofitel_New_York-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '45 West 44th Street', 'postal-code': '10036', 'locality': 'New York City'}",hotel,208454,Sofitel New York
3.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1465162-Reviews-Staybridge_Suites_Times_Square_New_York_City-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '340 West 40th Street', 'postal-code': '10018', 'locality': 'New York City'}",hotel,1465162,Staybridge Suites Times Square - New York City
4.5,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93559-Reviews-The_Sherry_Netherland_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '781 Fifth Avenue', 'postal-code': '10022', 'locality': 'New York City'}",hotel,93559,The Sherry-Netherland Hotel
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d80112-Reviews-San_Carlos_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '150 East 50th Street', 'postal-code': '10022', 'locality': 'New York City'}",hotel,80112,San Carlos Hotel
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93396-Reviews-The_Iroquois-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '49 W 44th St', 'postal-code': '10036', 'locality': 'New York City'}",hotel,93396,The Iroquois
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1456560-Reviews-Eventi_a_Kimpton_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '851 Avenue of the Americas (Sixth Avenue)', 'postal-code': '10001', 'locality': 'New York City'}",hotel,1456560,Eventi - a Kimpton Hotel
5.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1641016-Reviews-The_Chatwal-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '130 West 44th Street', 'postal-code': '10036', 'locality': 'New York City'}",hotel,1641016,The Chatwal
5.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1776857-Reviews-The_Setai_Fifth_Avenue_a_Capella_managed_Hotel-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '400 Fifth Avenue', 'postal-code': '10018', 'locality': 'New York City'}",hotel,1776857,"The Setai Fifth Avenue, a Capella managed Hotel"
4.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d1762573-Reviews-Andaz_5th_Avenue-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '485 5th Avenue', 'postal-code': '10017', 'locality': 'New York City'}",hotel,1762573,Andaz 5th Avenue
3.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d93338-Reviews-Hotel_Beacon-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '2130 Broadway at 75th Street', 'postal-code': '10023', 'locality': 'New York City'}",hotel,93338,Hotel Beacon
5.0,60763,http://www.tripadvisor.com/Hotel_Review-g60763-d224224-Reviews-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York.html,,,"{'region': 'NY', 'street-address': '50 Central Park South', 'postal-code': '10019', 'locality': 'New York City'}",hotel,224224,"The Ritz-Carlton New York, Central Park"
3.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1866401-Reviews-Holiday_Inn_Hotel_Houston_Westchase-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '10609 Westpark Drive', 'postal-code': '77042', 'locality': 'Houston'}",hotel,1866401,Holiday Inn Hotel-Houston Westchase
4.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d99060-Reviews-Omni_Houston_Hotel-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '4 Riverway', 'postal-code': '77056', 'locality': 'Houston'}",hotel,99060,Omni Houston Hotel
2.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1218737-Reviews-La_Quinta_Inn_Suites_Houston_Normandy-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '930 Normandy St', 'postal-code': '77015', 'locality': 'Houston'}",hotel,1218737,La Quinta Inn & Suites Houston - Normandy
3.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d99081-Reviews-Crowne_Plaza_Houston_Brookhollow-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '12801 Northwest Fwy', 'postal-code': '77040-6301', 'locality': 'Houston'}",hotel,99081,Crowne Plaza Houston - Brookhollow
3.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d107915-Reviews-Drury_Inn_Suites_Houston_Near_The_Galleria-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '1615 W. Loop South', 'postal-code': '77027', 'locality': 'Houston'}",hotel,107915,Drury Inn & Suites Houston Near The Galleria
4.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1966350-Reviews-The_Westin_Houston_Memorial_City-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '945 Gessner Road', 'postal-code': '77024', 'locality': 'Houston'}",hotel,1966350,The Westin Houston Memorial City
3.5,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d108038-Reviews-Hilton_University_of_Houston-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '4800 Calhoun Rd', 'postal-code': '77004', 'locality': 'Houston'}",hotel,108038,Hilton University of Houston
4.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d1200103-Reviews-Hotel_Sorella_CITYCENTRE-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '800 Sorella Court', 'postal-code': '77024', 'locality': 'Houston'}",hotel,1200103,Hotel Sorella CITYCENTRE
4.0,56003,http://www.tripadvisor.com/Hotel_Review-g56003-d283873-Reviews-Hotel_Icon_Autograph_Collection-Houston_Texas.html,,,"{'region': 'TX', 'street-address': '220 Main Street', 'postal-code': '77002', 'locality': 'Houston'}",hotel,283873,"Hotel Icon, Autograph Collection"
